candidate_id,K,template_family,offsets_log10_tau,span,shift,time_window_anchor,candidate_hash
K04_tw_span4.0_shift+0.0_dens1.25,4,time_window_centered,-2.000000000000;-0.506557123768;0.506557123768;2.000000000000,4.000000,0.000000,3.162277660168e-04,f5308d340b2ddb2edf7d5264956176518a60be3ec9708d72aeacc9bc763fb811
K04_tw_span4.0_shift+0.5_dens1.00,4,time_window_centered,-2.000000000000;-0.666666666667;0.666666666667;2.000000000000,4.000000,0.500000,3.162277660168e-04,cd1aac2a80e65b38a71d49034144b5942aabff5191af1a7f62e909133718b3e0
K04_tw_span4.0_shift+0.5_dens1.25,4,time_window_centered,-2.000000000000;-0.506557123768;0.506557123768;2.000000000000,4.000000,0.500000,3.162277660168e-04,ec2b24e6bea8f215d44cb83deb9ca32a585f89ded960262615fb8c29186fe6bb
K04_tw_span6.0_shift-0.5_dens1.00,4,time_window_centered,-3.000000000000;-1.000000000000;1.000000000000;3.000000000000,6.000000,-0.500000,3.162277660168e-04,8ebadd21609969c3362251f477652383f9d6ce4315f2ba51d9aa9d4f250ccc69
K04_tw_span6.0_shift-0.5_dens1.25,4,time_window_centered,-3.000000000000;-0.759835685652;0.759835685652;3.000000000000,6.000000,-0.500000,3.162277660168e-04,de3c26813a8d04f0cbfa128bc095a6128b2ac08d35583799858a2217f1c8175a
K04_tw_span6.0_shift+0.0_dens1.00,4,time_window_centered,-3.000000000000;-1.000000000000;1.000000000000;3.000000000000,6.000000,0.000000,3.162277660168e-04,bc147385deb1ef3aeaaca7bfb21810449554dfc024b3128e53ffedc7ab80b983
K04_tw_span6.0_shift+0.0_dens1.25,4,time_window_centered,-3.000000000000;-0.759835685652;0.759835685652;3.000000000000,6.000000,0.000000,3.162277660168e-04,2d2c12446ae651411396d3fdb9428afa015943eab435884b6aae76233a716f4a
K04_tw_span6.0_shift+0.5_dens1.00,4,time_window_centered,-3.000000000000;-1.000000000000;1.000000000000;3.000000000000,6.000000,0.500000,3.162277660168e-04,e254a9496fa877aa1d449e3f3f7e54e5d092d619267a73bebd9f068cc5050952
K04_tw_span6.0_shift+0.5_dens1.25,4,time_window_centered,-3.000000000000;-0.759835685652;0.759835685652;3.000000000000,6.000000,0.500000,3.162277660168e-04,c36a88b27e077e6c15a29f2b0e29d324ec908f24f94689468206d8a40d6e99ed
K04_tw_span8.0_shift-0.5_dens1.00,4,time_window_centered,-4.000000000000;-1.333333333333;1.333333333333;4.000000000000,8.000000,-0.500000,3.162277660168e-04,236ac3bf05fed714ff4b1da53a786e527db524f46eef4f31ed2a50bf0dae4430
K04_tw_span8.0_shift-0.5_dens1.25,4,time_window_centered,-4.000000000000;-1.013114247535;1.013114247535;4.000000000000,8.000000,-0.500000,3.162277660168e-04,20d6e300e67a89b4a53f74544dc25ad4380c9977fb102715f2dc0b2f105d66ec
K04_tw_span8.0_shift+0.0_dens1.00,4,time_window_centered,-4.000000000000;-1.333333333333;1.333333333333;4.000000000000,8.000000,0.000000,3.162277660168e-04,632c8805fd3f33d074e4b5f92894919750dcb3751723a4932edeabfbd933266f
K04_tw_span8.0_shift+0.0_dens1.25,4,time_window_centered,-4.000000000000;-1.013114247535;1.013114247535;4.000000000000,8.000000,0.000000,3.162277660168e-04,b757f7eb6c16b8b8c86669b21dd298b58ddb4144fac3c8ea4c34876baa7af28b
K04_tw_span8.0_shift+0.5_dens1.00,4,time_window_centered,-4.000000000000;-1.333333333333;1.333333333333;4.000000000000,8.000000,0.500000,3.162277660168e-04,65fc8b0fccb7baae6c0e9d6b0fea3395f3fe9af4159c5116ec283ed94808ba93
K04_tw_span8.0_shift+0.5_dens1.25,4,time_window_centered,-4.000000000000;-1.013114247535;1.013114247535;4.000000000000,8.000000,0.500000,3.162277660168e-04,4127ec13ebe90f09bfb027325cce49085d80d91e08a1b22040dc15d61f5d49e9
K06_cc_span4.0_shift-0.5_dens1.00,6,cole_cole_tau_centered,-2.000000000000;-1.200000000000;-0.400000000000;0.400000000000;1.200000000000;2.000000000000,4.000000,-0.500000,3.162277660168e-03,eb1863094d6fdac19170705bc897d74bf4c123ee032e2bb8072c2f6e3c0c6791
K06_cc_span4.0_shift-0.5_dens1.25,6,cole_cole_tau_centered,-2.000000000000;-1.056134084152;-0.267496121991;0.267496121991;1.056134084152;2.000000000000,4.000000,-0.500000,3.162277660168e-03,5cf26663f10dd5e62d61fe44deabd8ac87d57ad36e2d2605f534b2bbab183b57
K06_cc_span4.0_shift+0.0_dens1.00,6,cole_cole_tau_centered,-2.000000000000;-1.200000000000;-0.400000000000;0.400000000000;1.200000000000;2.000000000000,4.000000,0.000000,3.162277660168e-03,6839ac9c78930ded4ab540c1a8445a8eed3161a42a76bba78b5adec8b3e9094d
K06_cc_span4.0_shift+0.0_dens1.25,6,cole_cole_tau_centered,-2.000000000000;-1.056134084152;-0.267496121991;0.267496121991;1.056134084152;2.000000000000,4.000000,0.000000,3.162277660168e-03,a7998786494615f7a4d1158745eee814c7ca424ada6eee36e05a7feec826b1b0
K06_cc_span4.0_shift+0.5_dens1.00,6,cole_cole_tau_centered,-2.000000000000;-1.200000000000;-0.400000000000;0.400000000000;1.200000000000;2.000000000000,4.000000,0.500000,3.162277660168e-03,c837bb2797c7e75ab2bf36d8749bf0e38c5ed7469cbd322d546616c5315a2d92
K06_cc_span4.0_shift+0.5_dens1.25,6,cole_cole_tau_centered,-2.000000000000;-1.056134084152;-0.267496121991;0.267496121991;1.056134084152;2.000000000000,4.000000,0.500000,3.162277660168e-03,91bc36b44a4acad049db692cf656036683fdbbde5fbd6b10ac57731ec84d4920
K06_cc_span6.0_shift-0.5_dens1.00,6,cole_cole_tau_centered,-3.000000000000;-1.800000000000;-0.600000000000;0.600000000000;1.800000000000;3.000000000000,6.000000,-0.500000,3.162277660168e-03,02b31a5a6efae426d8941fcd32afe168f60447b726cbfc472c4f9b9dbbc4a4f2
K06_cc_span6.0_shift-0.5_dens1.25,6,cole_cole_tau_centered,-3.000000000000;-1.584201126228;-0.401244182986;0.401244182986;1.584201126228;3.000000000000,6.000000,-0.500000,3.162277660168e-03,bad4fefac5ae625bdf3be76661e5dc43b23f00c2b26ce71f6af1c2e1d419b7be
K06_cc_span6.0_shift+0.0_dens1.00,6,cole_cole_tau_centered,-3.000000000000;-1.800000000000;-0.600000000000;0.600000000000;1.800000000000;3.000000000000,6.000000,0.000000,3.162277660168e-03,3a960e3736905661f51ec68c30d1fa7a3104f01e045fc57729430d877af2ed1b
K06_cc_span6.0_shift+0.0_dens1.25,6,cole_cole_tau_centered,-3.000000000000;-1.584201126228;-0.401244182986;0.401244182986;1.584201126228;3.000000000000,6.000000,0.000000,3.162277660168e-03,b1ace278bc9fd1e4370b7aab4720dd6e79b403cec0bd4f934de8533331e8106d
