time_obs,Ex,Ey,Hz,dBzdt
1.0000000000000001e-05,8.9602859749603745e-04,8.6004017423428989e-22,-2.1988714001990191e-03,4.4989408550885445e-06
2.0000000000000002e-05,8.9697765903465636e-04,-3.3749423973857536e-22,-2.1630579064419865e-03,4.5010314588106293e-06
