time_obs,receiver_type,component,pred,ref,abs_error,ordinary_relative_error,relative_error_with_floor,peak_normalized_error,pass_5pct
1e-05,point,Ex,0.0009260757304458694,0.0008954699652194018,3.060576522646765e-05,0.03417843860231408,0.03417843860231408,0.034064975039313244,True
1e-05,point,Ey,1.9023586441520596e-05,-9.750233385858883e-22,1.9023586441520596e-05,1.95109036765327e+16,1902358644.1520596,1902358644.1520596,False
1e-05,point,dBzdt,4.232915274267248e-06,4.487635286495225e-06,2.5472001222797684e-07,0.056760408537323295,0.056760408537323295,0.05664626275758852,False
1e-05,disk_average,Ex,0.0009171461792970266,0.0008954699652194018,2.1676214077624863e-05,0.024206522741735854,0.024206522741735854,0.02412616335639073,True
1e-05,disk_average,Ey,3.0261204912908846e-05,-9.750233385858883e-22,3.0261204912908846e-05,3.1036390325587252e+16,3026120491.2908845,3026120491.2908845,False
1e-05,disk_average,Hz,-0.002196342512007643,-0.0021976168754442547,1.2743634366118618e-06,0.0005798842604693075,0.0005798842604693075,0.0005798842604693075,True
1e-05,disk_average,dBzdt,4.357164841192045e-06,4.487635286495225e-06,1.304704453031803e-07,0.029073317454252335,0.029073317454252335,0.029014850706464392,True
1.25e-05,point,Ex,0.0009530845495534616,0.0008959915796517662,5.709296990169543e-05,0.06372043130571053,0.06372043130571053,0.06354589013639846,False
1.25e-05,point,Ey,1.5043047519487705e-05,-6.920176545593707e-23,1.5043047519487705e-05,2.173795338944941e+17,1504304751.9487705,1504304751.9487705,False
1.25e-05,point,dBzdt,4.45261818249991e-06,4.490347976445927e-06,3.7729793946016845e-08,0.008402420958003273,0.008402420958003273,0.008390592490011669,True
1.25e-05,disk_average,Ex,0.000945121385966652,0.0008959915796517662,4.9129806314885814e-05,0.05483288842288058,0.05483288842288058,0.05468269175493633,False
1.25e-05,disk_average,Ey,2.762808793569918e-05,-6.920176545593707e-23,2.762808793569918e-05,3.9923964011136166e+17,2762808793.5699177,2762808793.5699177,False
1.25e-05,disk_average,Hz,-0.002185608004384204,-0.0021886869849894147,3.0789806052108556e-06,0.0014067706466604436,0.0014067706466604436,0.0014010543146145212,True
1.25e-05,disk_average,dBzdt,4.469610594137442e-06,4.490347976445927e-06,2.0737382308485103e-08,0.0046182127570653375,0.0046182127570653375,0.0046117114901033035,True
1.5625e-05,point,Ex,0.0009692844645195659,0.000896383226132617,7.290123838694885e-05,0.08132820456879382,0.08132820456879382,0.08114088465394188,False
1.5625e-05,point,Ey,1.1676260222848469e-05,-8.501771940531757e-22,1.167626022284847e-05,1.3733913711778724e+16,1167626022.284847,1167626022.284847,False
1.5625e-05,point,dBzdt,4.5794339150798126e-06,4.491402941363378e-06,8.80309737164343e-08,0.019599883347298213,0.019599883347298213,0.019576890030471687,True
1.5625e-05,disk_average,Ex,0.000962096736414721,0.000896383226132617,6.571351028210402e-05,0.07330961620692121,0.07330961620692121,0.07314076517745956,False
1.5625e-05,disk_average,Ey,2.518918010161029e-05,-8.501771940531757e-22,2.518918010161029e-05,2.9628153140079164e+16,2518918010.161029,2518918010.161029,False
1.5625e-05,disk_average,Hz,-0.0021717715530496025,-0.0021775215598005175,5.750006750915044e-06,0.002640619894225893,0.002640619894225893,0.00261647369710549,True
1.5625e-05,disk_average,dBzdt,4.538296397845264e-06,4.491402941363378e-06,4.689345648188584e-08,0.010440714648428136,0.010440714648428136,0.01042846627656016,True
1.953125e-05,point,Ex,0.0009789675742207047,0.0008966047709563111,8.236280326439358e-05,0.0918607684593805,0.0918607684593805,0.09167184079890597,False
1.953125e-05,point,Ey,8.459113299650098e-06,-1.9445652496524154e-22,8.459113299650098e-06,4.3501308588961656e+16,845911329.9650098,845911329.9650098,False
1.953125e-05,point,dBzdt,4.649748068122299e-06,4.491254141261931e-06,1.5849392686036825e-07,0.035289458551066404,0.035289458551066404,0.035246891470698274,True
1.953125e-05,disk_average,Ex,0.0009724241437389583,0.0008966047709563111,7.581937278264717e-05,0.08456275857396885,0.08456275857396885,0.084388840541183,False
1.953125e-05,disk_average,Ey,2.2646078121861823e-05,-1.9445652496524154e-22,2.2646078121861823e-05,1.1645830925915053e+17,2264607812.1861825,2264607812.1861825,False
1.953125e-05,disk_average,Hz,-0.0021540045102196154,-0.0021635611701154747,9.556659895859285e-06,0.004417097158084614,0.004417097158084614,0.004348646937800465,True
1.953125e-05,disk_average,dBzdt,4.578744016519991e-06,4.491254141261931e-06,8.748987525806068e-08,0.019480054458347395,0.019480054458347395,0.019456557100276453,True
2.44140625e-05,point,Ex,0.0009846445465337347,0.0008969358815235627,8.770866501017207e-05,0.09778699549982041,0.09778699549982041,0.09762191738042791,False
2.44140625e-05,point,Ey,5.1381696870131324e-06,-3.1587822478769075e-22,5.1381696870131324e-06,1.6266299110888756e+16,513816968.70131326,513816968.70131326,False
2.44140625e-05,point,dBzdt,4.687089402714926e-06,4.492402631953028e-06,1.9468677076189776e-07,0.04333689268569847,0.04333689268569847,0.04329568719608277,True
2.44140625e-05,disk_average,Ex,0.0009786700702027128,0.0008969358815235627,8.173418867915019e-05,0.09112601063558078,0.09112601063558078,0.09097217718986979,False
2.44140625e-05,disk_average,Ey,1.9838076293758714e-05,-3.1587822478769075e-22,1.9838076293758714e-05,6.2802924472215064e+16,1983807629.3758714,1983807629.3758714,False
2.44140625e-05,disk_average,Hz,-0.002131393191246621,-0.002146106097128639,1.4712905882017895e-05,0.0068556283874794816,0.0068556283874794816,0.006694936704580792,True
2.44140625e-05,disk_average,dBzdt,4.601201655308722e-06,4.492402631953028e-06,1.0879902335569378e-07,0.024218448850029824,0.024218448850029824,0.02419542151740965,True
3.0517578125e-05,point,Ex,0.0009875968754878357,0.0008973486401800019,9.02482353078339e-05,0.10057209791918861,0.10057209791918861,0.10044852204658467,False
3.0517578125e-05,point,Ey,1.49783826857043e-06,5.192865737115955e-22,1.4978382685704297e-06,2884415550867502.0,149783826.85704297,149783826.85704297,False
