time_obs,receiver_type,radius,Ex,Ey,Hz,dBzdt,sample_count,candidate_count_min,candidate_count_max,candidate_count_mean
9.313225746154785e-05,disk_average,2.0,0.0009708049653769201,-1.498206771820527e-05,-0.0018257471070481355,4.497053975878876e-06,5,4,32,9.6
0.00011641532182693481,point,0.0,0.0009679580706645375,-4.279671751745175e-05,nan,4.487974656053797e-06,1,32,32,32.0
0.00011641532182693481,disk_average,2.0,0.0009655738326821135,-2.4598397938748357e-05,-0.0017306578098127408,4.415086523682129e-06,5,4,32,9.6
0.00014551915228366852,point,0.0,0.0009613445420721108,-5.1832537091555754e-05,nan,4.3481838491746085e-06,1,32,32,32.0
0.00014551915228366852,disk_average,2.0,0.0009593157687482704,-3.31703816323579e-05,-0.0016178369749534148,4.27965649691199e-06,5,4,32,9.6
0.00018189894035458565,point,0.0,0.000950783610283604,-5.702846052123201e-05,nan,4.125115447093514e-06,1,32,32,32.0
0.00018189894035458565,disk_average,2.0,0.0009491101470151333,-3.841625886218857e-05,-0.0014867320478033504,4.061650765126716e-06,5,4,32,9.6
0.00022737367544323206,point,0.0,0.0009309455876842668,-5.597296681725554e-05,nan,3.7939845780506604e-06,1,32,32,32.0
0.00022737367544323206,disk_average,2.0,0.0009296630061824542,-3.818096382666872e-05,-0.00133888342199888,3.7372183853651094e-06,5,4,32,9.6
0.0002842170943040401,point,0.0,0.0008954221268557437,-4.767704226719987e-05,nan,3.3506966456019024e-06,1,32,32,32.0
0.0002842170943040401,disk_average,2.0,0.0008945699859100566,-3.157383362939506e-05,-0.0011785357211763995,3.302532470244376e-06,5,4,32,9.6
0.0003552713678800501,point,0.0,0.0008392580973970758,-3.343019617277761e-05,nan,2.820397740917885e-06,1,32,32,32.0
0.0003552713678800501,disk_average,2.0,0.000838842934320818,-1.975688889053824e-05,-0.001012514228599904,2.78210935087056e-06,5,4,32,9.6
0.0004440892098500626,point,0.0,0.0007615469617407376,-1.65274567734105e-05,nan,2.252656534631262e-06,1,32,32,32.0
0.0004440892098500626,disk_average,2.0,0.0007615154492726895,-5.70332846453795e-06,-0.0008491788251750535,2.224303054200774e-06,5,4,32,9.6
0.0005551115123125783,point,0.0,0.0006665569235510618,-9.142707510445444e-07,nan,1.7054888456352441e-06,1,32,32,32.0
0.0005551115123125783,disk_average,2.0,0.000666800236091594,7.044372490049174e-06,-0.0006967272751661546,1.6859308766245288e-06,5,4,32,9.6
0.0006938893903907228,point,0.0,0.0005626430669121875,1.0411114681076278e-05,nan,1.2271614511804448e-06,1,32,32,32.0
0.0006938893903907228,disk_average,2.0,0.0005630286008249754,1.5837649451048178e-05,-0.0005614797558266087,1.2145478616427365e-06,5,4,32,9.6
0.0008673617379884035,point,0.0,0.0004595145759197655,1.6310933428004268e-05,nan,8.446051319340159e-07,1,32,32,32.0
0.0008673617379884035,disk_average,2.0,0.0004599268944099244,1.9745415849682412e-05,-0.0004467948624568319,8.369589965907942e-07,5,4,32,9.6
