time_obs,receiver_type,component,pred,ref,abs_error,ordinary_relative_error,relative_error_with_floor,peak_normalized_error,pass_5pct
1e-05,point,Ex,0.0009979211780604827,0.0008957478017615674,0.00010217337629891531,0.11406489203543935,0.11406489203543935,0.11406489203543935,False
1e-05,point,Ey,5.952295267625509e-05,1.1173400869144125e-21,5.952295267625509e-05,5.327201035150411e+16,5952295267.625508,5952295267.625508,False
1e-05,point,Hz,-0.0021675570516726146,-0.002197618591964809,3.0061540292194294e-05,0.013679143597578228,0.013679143597578228,0.013679143597578228,True
1e-05,point,dBzdt,5.189642050444779e-06,4.486077984479888e-06,7.035640659648907e-07,0.15683277651412947,0.15683277651412947,0.15683277651412947,False
1e-05,disk_average,Ex,0.000989299067492527,0.0008957478017615674,9.355126573095968e-05,0.10443929144674743,0.10443929144674743,0.10443929144674743,False
1e-05,disk_average,Ey,6.933324141825437e-05,1.1173400869144125e-21,6.933324141825437e-05,6.205204863786942e+16,6933324141.825438,6933324141.825438,False
1e-05,disk_average,dBzdt,4.351205235921386e-06,4.486077984479888e-06,1.348727485585022e-07,0.030064735616525225,0.030064735616525225,0.030064735616525225,True
