time_obs,Ex,Ey,Hz,dBzdt
1.0000000000000001e-05,8.9550494452956099e-04,1.5162385615708813e-21,-2.1976168597438715e-03,4.4881196059095085e-06
1.2500000000000001e-05,8.9601143696734886e-04,-2.1013504616912140e-21,-2.1886869671606580e-03,4.4897427701496744e-06
1.5625000000000000e-05,8.9642004843771661e-04,-3.8977857155522813e-22,-2.1775216467049704e-03,4.4908652415088373e-06
1.9531250000000000e-05,8.9652023875985514e-04,-8.6757058804957070e-22,-2.1635608544980601e-03,4.4913301459799943e-06
2.4414062500000001e-05,8.9709116552772047e-04,-2.2757410494034793e-23,-2.1461072731122710e-03,4.4929926976380116e-06
