time_obs,receiver_type,radius,Ex,Ey,Hz,dBzdt,sample_count,candidate_count_min,candidate_count_max,candidate_count_mean
1e-05,point,0.0,0.00045454857578163617,-0.00015766474231103622,nan,3.024492723111652e-06,1,32,32,32.0
1e-05,disk_average,2.0,0.00042897429901139165,-1.665880562637352e-05,-0.002286008690307296,2.884882957531414e-06,5,4,32,9.6
2e-05,point,0.0,0.000647103745176393,-0.00017043412424546625,nan,3.482675680711751e-06,1,32,32,32.0
2e-05,disk_average,2.0,0.0006282223052810714,-2.8111726275656683e-05,-0.002259138450492365,3.583525965761404e-06,5,4,32,9.6
4e-05,point,0.0,0.000851982412390166,-0.00018367770742816903,nan,4.141717767422741e-06,1,32,32,32.0
4e-05,disk_average,2.0,0.0008388478379268564,-4.07856938285039e-05,-0.002188915035281133,4.4809757308678435e-06,5,4,32,9.6
