receiver_evaluation_mode,max_peak_normalized_error_Ex,max_peak_normalized_error_dBzdt,max_error_Ex,max_error_dBzdt,physical_pass_all_components
median,0.6724526431167445,0.6486769605748195,0.6731648959866954,0.6489783929589938,False
mean,0.6786600535766443,0.5908231256391763,0.6793788812529556,0.5910976740418649,False
nearest_center,0.6723799270634969,0.43771200333239396,0.6730921029135742,0.43791540283748703,False
shallowest,0.6723799270634969,0.43771200333239396,0.6730921029135742,0.43791540283748703,False
first_cell,0.6725253591699919,0.4411768325014638,0.6732376890598166,0.4413818420710121,False
