time_obs,component,pred,ref,abs_error,ordinary_relative_error,relative_error_with_floor,peak_normalized_error,pass_5pct
1e-05,Ex,0.0001465483446029867,0.0008954700415760444,0.0007489216969730577,0.8363447822943816,0.8363447822943816,0.8335606783569547,False
1.4e-05,Ex,0.00023132639244147836,0.0008960388081684407,0.0006647124157269624,0.7418344045674496,0.7418344045674496,0.7398345306393089,False
1.96e-05,Ex,0.0003411994633472246,0.0008966200910572645,0.0005554206277100398,0.6194603860093145,0.6194603860093145,0.6181911901853765,False
2.7439999999999995e-05,Ex,0.00045124239187999864,0.0008971979269781036,0.000445955535098105,0.49705368424127966,0.49705368424127966,0.49635495921116046,False
3.841599999999999e-05,Ex,0.0005739186388636798,0.0008976802826504156,0.00032376164378673583,0.3606647600979096,0.3606647600979096,0.3603513912223362,False
5.378239999999999e-05,Ex,0.0007079487598053195,0.0008981021606336112,0.00019015340082829176,0.2117280295753197,0.2117280295753197,0.21164348479546716,False
7.529535999999997e-05,Ex,0.000860141514401683,0.0008984609236237842,3.8319409222101284e-05,0.0426500565740207,0.0426500565740207,0.0426500565740207,True
0.00010541350399999995,Ex,0.0009847119066241654,0.0008979229151483797,8.678899147578566e-05,0.09665528077256384,0.09665528077256384,0.09659740250665273,False
0.00014757890559999993,Ex,0.0010434918264166605,0.0008919588148689929,0.00015153301154766758,0.16988790179726415,0.16988790179726415,0.16865843306405115,False
0.0002066104678399999,Ex,0.001034156727576016,0.0008686896690779507,0.0001654670584980653,0.19047890678117108,0.19047890678117108,0.1841672288102225,False
0.00028925465497599983,Ex,0.00094992493886006,0.000812616679812442,0.00013730825904761804,0.16897051519950318,0.16897051519950318,0.15282607783743038,False
0.00040495651696639975,Ex,0.0008311116214275975,0.0007171129060944475,0.00011399871533314995,0.15896899130432848,0.15896899130432848,0.1268822186204339,False
0.0005669391237529596,Ex,0.0006877842134884368,0.0005920645589472605,9.571965454117622e-05,0.16167097505612163,0.16167097505612163,0.10653735963842235,False
0.0007937147732541434,Ex,0.0005411133187555139,0.0004580537024381879,8.305961631732602e-05,0.18133161215640323,0.18133161215640323,0.09244655402743578,False
0.0011112006825558006,Ex,0.00040522500936213216,0.0003346499500409632,7.057505932116898e-05,0.21089218543893454,0.21089218543893454,0.07855106156038137,False
0.0015556809555781208,Ex,0.0002899618279759489,0.0002332281459644604,5.673368201148852e-05,0.24325401111808206,0.24325401111808206,0.06314540846435834,False
0.002177953337809369,Ex,0.00019975586998093227,0.00015661758468249188,4.313828529844038e-05,0.2754370486934394,0.2754370486934394,0.048013535329338185,False
