time_obs,receiver_type,radius,Ex,Ey,Hz,dBzdt
1e-05,point,0.0,0.0006874226323588619,0.00010679569408980697,nan,3.489812076662706e-06
1e-05,disk_average,2.0,0.0006849642059075283,0.00010634476606208686,-0.002171718058199481,3.6079974085777823e-06
