time_obs,receiver_type,radius,Ex,Ey,Hz,dBzdt,sample_count,candidate_count_min,candidate_count_max,candidate_count_mean
0.0002842170943040401,point,0.0,0.0007967299249253669,-8.138286152125908e-05,nan,3.323855586880743e-06,1,32,32,32.0
0.0002842170943040401,disk_average,2.0,0.0007961742197814392,-7.037925956191342e-05,-0.0011658512560310606,3.2759772160707887e-06,5,4,32,9.6
0.0003552713678800501,point,0.0,0.0007377613458387069,-6.690638805910362e-05,nan,2.7895268539998055e-06,1,32,32,32.0
0.0003552713678800501,disk_average,2.0,0.0007376115849175734,-5.8473865070945007e-05,-0.0010009931541978031,2.751660464359663e-06,5,4,32,9.6
0.0004440892098500626,point,0.0,0.0006572968155698565,-5.009294778494429e-05,nan,2.2211485296019537e-06,1,32,32,32.0
0.0004440892098500626,disk_average,2.0,0.000657486280157002,-4.464205365029446e-05,-0.0008394999263039953,2.1932745484118438e-06,5,4,32,9.6
0.0005551115123125783,point,0.0,0.0005597717558234825,-3.492405160404107e-05,nan,1.6766745630820113e-06,1,32,32,32.0
0.0005551115123125783,disk_average,2.0,0.0005601816010959485,-3.2456423442143466e-05,-0.0006893809233492538,1.6575873472038764e-06,5,4,32,9.6
0.0006938893903907228,point,0.0,0.00045368428552367967,-2.4376554613139592e-05,nan,1.2035539073791766e-06,1,32,32,32.0
0.0006938893903907228,disk_average,2.0,0.0004541787069254653,-2.4539140598150588e-05,-0.0005566561931904302,1.1913588625996174e-06,5,4,32,9.6
0.0008673617379884035,point,0.0,0.00034883311086013693,-1.949038029701494e-05,nan,8.274010011940971e-07,1,32,32,32.0
0.0008673617379884035,disk_average,2.0,0.0003492996032364741,-2.1721054170349217e-05,-0.0004443463818808521,8.200994341178177e-07,5,4,32,9.6
0.0010842021724855044,point,0.0,0.00025338764334562763,-1.9477019398163756e-05,nan,5.508661205584935e-07,1,32,32,32.0
0.0010842021724855044,disk_average,2.0,0.00025376074891195904,-2.3169252507284868e-05,-0.00035244463458190627,5.467487892186953e-07,5,4,32,9.6
0.0013552527156068805,point,0.0,0.0001721395425105914,-2.2532920506177142e-05,nan,3.6021341380177615e-07,1,32,32,32.0
0.0013552527156068805,disk_average,2.0,0.00017240020858164928,-2.7159699683158497e-05,-0.0002787246444340438,3.5800763936887107e-07,5,4,32,9.6
0.0016940658945086007,point,0.0,0.00010636636087381819,-2.6769090771025364e-05,nan,2.3454391641395757e-07,1,32,32,32.0
