time_obs,receiver_type,component,pred,ref,abs_error,ordinary_relative_error,relative_error_with_floor,peak_normalized_error,pass_5pct
1e-05,point,Ex,0.0008766696564377676,0.000895504944529561,1.88352880917934e-05,0.02103314806562929,0.02103314806562929,0.020995957618993387,True
1e-05,point,Ey,-3.5680233785948564e-05,1.5162385615708813e-21,3.5680233785948564e-05,2.353207119925935e+16,3568023378.5948563,3568023378.5948563,False
1e-05,point,dBzdt,4.5385247948378195e-06,4.4881196059095085e-06,5.0405188928311e-08,0.011230803399700505,0.011230803399700505,0.011218622490708534,True
1e-05,disk_average,Ex,0.0008693821529038076,0.000895504944529561,2.6122791625753398e-05,0.02917101885961845,0.02917101885961845,0.029119439171365013,True
1e-05,disk_average,Ey,-2.631846568254113e-05,1.5162385615708813e-21,2.631846568254113e-05,1.7357734033141982e+16,2631846568.254113,2631846568.254113,False
1e-05,disk_average,Hz,-0.002193461897462184,-0.0021976168597438715,4.15496228168763e-06,0.0018906672759017164,0.0018906672759017164,0.0018906672759017164,True
1e-05,disk_average,dBzdt,4.5111518341846384e-06,4.4881196059095085e-06,2.3032228275129904e-08,0.0051318214079685755,0.0051318214079685755,0.0051262554437798355,True
1.25e-05,point,Ex,0.0008868146918317801,0.0008960114369673489,9.19674513556875e-06,0.010264093465922896,0.010264093465922896,0.010251739721635424,True
1.25e-05,point,Ey,-3.6880875747022845e-05,-2.101350461691214e-21,3.6880875747022845e-05,1.7551035117359856e+16,3688087574.7022843,3688087574.7022843,False
1.25e-05,point,dBzdt,4.615101584963516e-06,4.4897427701496744e-06,1.2535881481384153e-07,0.027921157454119012,0.027921157454119012,0.027900961174440207,True
1.25e-05,disk_average,Ex,0.0008800542412589065,0.0008960114369673489,1.5957195708442328e-05,0.017809142886000703,0.017809142886000703,0.017787708007419058,True
1.25e-05,disk_average,Ey,-2.695554949048582e-05,-2.101350461691214e-21,2.6955549490485816e-05,1.28277267318805e+16,2695554949.0485816,2695554949.0485816,False
1.25e-05,disk_average,Hz,-0.002182287417343958,-0.002188686967160658,6.3995498166997955e-06,0.002923921927950167,0.002923921927950167,0.0029120407355473477,True
1.25e-05,disk_average,dBzdt,4.556859911038347e-06,4.4897427701496744e-06,6.711714088867275e-08,0.014948994702971652,0.014948994702971652,0.014938181609766819,True
1.5625e-05,point,Ex,0.0008940787898307584,0.0008964200484377166,2.3412586069582186e-06,0.0026117874215760466,0.0026117874215760466,0.002609833534121313,True
1.5625e-05,point,Ey,-3.8206588755314094e-05,-3.8977857155522813e-22,3.8206588755314094e-05,9.802126526060338e+16,3820658875.5314093,3820658875.5314093,False
1.5625e-05,point,dBzdt,4.667770514546026e-06,4.490865241508837e-06,1.769052730371889e-07,0.03939224704452552,0.03939224704452552,0.0393735946043689,True
1.5625e-05,disk_average,Ex,0.0008877961400134141,0.0008964200484377166,8.623908424302499e-06,0.009620387718159887,0.009620387718159887,0.00961319067190838,True
1.5625e-05,disk_average,Ey,-2.781924669085135e-05,-3.8977857155522813e-22,2.781924669085135e-05,7.1371924269340216e+16,2781924669.085135,2781924669.085135,False
1.5625e-05,disk_average,Hz,-0.002167918329512529,-0.0021775216467049704,9.603317192441539e-06,0.00441020515546805,0.00441020515546805,0.004369877829186653,True
1.5625e-05,disk_average,dBzdt,4.589929928256731e-06,4.490865241508837e-06,9.906468674789329e-08,0.022059153731054645,0.022059153731054645,0.022048708603504316,True
1.953125e-05,point,Ex,0.0008991625271248389,0.0008965202387598551,2.6422883649837667e-06,0.0029472712948887913,0.0029472712948887913,0.002945395592464029,True
1.953125e-05,point,Ey,-3.968815687377958e-05,-8.675705880495707e-22,3.968815687377958e-05,4.5746314386941736e+16,3968815687.3779583,3968815687.3779583,False
1.953125e-05,point,dBzdt,4.703068972768434e-06,4.491330145979994e-06,2.117388267884395e-07,0.047143901674197394,0.047143901674197394,0.04712645691584401,True
1.953125e-05,disk_average,Ex,0.0008933255063519284,0.0008965202387598551,3.1947324079267163e-06,0.003563480521472609,0.003563480521472609,0.003561212651166163,True
1.953125e-05,disk_average,Ey,-2.8928212072695733e-05,-8.675705880495707e-22,2.8928212072695733e-05,3.3343928979578144e+16,2892821207.269573,2892821207.269573,False
1.953125e-05,disk_average,Hz,-0.0021495704318807854,-0.00216356085449806,1.3990422617274692e-05,0.006466387385493915,0.006466387385493915,0.006366179143213004,True
1.953125e-05,disk_average,dBzdt,4.613216009408637e-06,4.491330145979994e-06,1.2188586342864242e-07,0.02713803249082846,0.02713803249082846,0.027127990546861654,True
2.44140625e-05,point,Ex,0.0009024711626955627,0.0008970911655277205,5.379997167842239e-06,0.005997157674245311,0.005997157674245311,0.005997157674245311,True
