time_obs,component,pred,ref,abs_error,ordinary_relative_error,relative_error_with_floor,peak_normalized_error,pass_5pct
1e-05,Ex,0.0009816669876406,0.0008954700733392766,8.619691430132332e-05,0.0962588442290298,0.0962588442290298,0.0959312703857243,False
2e-05,Ex,0.0010043138493148877,0.0008967074046211135,0.00010760644469377421,0.12000173539242853,0.12000173539242853,0.11975861345893286,False
4e-05,Ex,0.0010112165736025501,0.0008977062742221728,0.0001135102993803773,0.1264448101120041,0.1264448101120041,0.1263291999451112,False
8e-05,Ex,0.0010026461690669849,0.0008985278101159227,0.00010411835895106217,0.1158766125865703,0.1158766125865703,0.1158766125865703,False
0.00016,Ex,0.0009732250726922087,0.0008885478424902329,8.467723020197577e-05,0.09529844781870207,0.09529844781870207,0.09423996591830722,False
0.00032,Ex,0.0008705160453261055,0.000787951504408638,8.256454091746753e-05,0.10478378485923787,0.10478378485923787,0.09188868723697662,False
0.00064,Ex,0.0006410725774423206,0.0005436720299293242,9.74005475129964e-05,0.17915313304908878,0.17915313304908878,0.10840014790463788,False
0.00128,Ex,0.0003698469882042581,0.0002890136629689803,8.083332523527783e-05,0.27968686464471276,0.27968686464471276,0.08996196258505254,False
0.00256,Ex,0.00017787514258990207,0.0001279912469164208,4.988389567348126e-05,0.389744587034579,0.389744587034579,0.05551736419493298,False
0.00512,Ex,7.851512432199934e-05,5.093242800104574e-05,2.7582696320953603e-05,0.5415547108884595,0.5415547108884595,0.030697654552723358,False
0.01024,Ex,3.2910516932425435e-05,1.9131993266795687e-05,1.3778523665629749e-05,0.720182339262209,0.720182339262209,0.01533455449069754,False
0.02048,Ex,1.3040550495472438e-05,6.9747273826546285e-06,6.065823112817809e-06,0.8696860507986071,0.8696860507986071,0.006750846267112459,False
0.04096,Ex,4.8824934633601634e-06,2.5042488857853472e-06,2.3782445775748162e-06,0.9496837918444295,0.9496837918444295,0.0026468235604950163,False
0.08192,Ex,1.737106940597189e-06,8.922538192209897e-07,8.448531213761992e-07,0.9468753208743055,0.9468753208743055,0.0009402637423845583,False
0.16384,Ex,6.005523698704533e-07,3.166817641585793e-07,2.8387060571187405e-07,0.896390755135888,0.896390755135888,0.0003159285695066586,False
0.32768,Ex,2.050659118941193e-07,1.1218061315680684e-07,9.288529873731246e-08,0.8279977807526934,0.8279977807526934,0.00010337498482693481,False
0.65536,Ex,6.834552397751752e-08,3.9700169582545363e-08,2.864535439497216e-08,0.7215423686141236,0.7215423686141236,3.1880320311150426e-05,False
1.0,Ex,2.986082707143553e-08,2.1069619302160945e-08,8.791207769274584e-09,0.41724568646444116,0.41724568646444116,9.78401299358825e-06,False
1e-05,Ey,1.8642633572909884e-05,-9.750392918487587e-22,1.8642633572909884e-05,1.911987930000425e+16,1864263357.2909884,1864263357.2909884,False
2e-05,Ey,1.6554654752487675e-05,-2.7137600361270024e-22,1.6554654752487675e-05,6.100264773636355e+16,1655465475.2487676,1655465475.2487676,False
4e-05,Ey,1.0154565306556606e-05,-1.3792545669538394e-22,1.0154565306556606e-05,7.362357573325662e+16,1015456530.6556606,1015456530.6556606,False
8e-05,Ey,-4.698627311824434e-06,-2.6841562147576713e-22,4.698627311824434e-06,1.7505044177351024e+16,469862731.1824434,469862731.1824434,False
0.00016,Ey,-2.143271224524055e-05,-1.0462579573333249e-23,2.143271224524055e-05,2.0485112772635622e+18,2143271224.524055,2143271224.524055,False
0.00032,Ey,-1.505643614063168e-05,3.678289345904718e-24,1.505643614063168e-05,4.093325653512006e+18,1505643614.063168,1505643614.063168,False
0.00064,Ey,9.295979942299706e-06,2.6625055273401174e-23,9.295979942299706e-06,3.49144061743471e+17,929597994.2299707,929597994.2299707,False
0.00128,Ey,1.742738690647837e-05,-1.696602236689298e-23,1.742738690647837e-05,1.027193441668784e+18,1742738690.647837,1742738690.647837,False
0.00256,Ey,9.919804777379416e-06,1.790338176818214e-23,9.919804777379416e-06,5.5407435901349523e+17,991980477.7379416,991980477.7379416,False
0.00512,Ey,3.351233735426892e-06,3.2304051131967023e-24,3.351233735426892e-06,1.0374035509467795e+18,335123373.5426892,335123373.5426892,False
0.01024,Ey,8.257168774620003e-07,-1.2530930267181279e-23,8.257168774620003e-07,6.589429993274856e+16,82571687.74620003,82571687.74620003,False
0.02048,Ey,1.2120072596150062e-07,-9.378671141979118e-26,1.2120072596150062e-07,1.2923016931365018e+18,12120072.596150061,12120072.596150061,False
0.04096,Ey,-1.5235381460360504e-08,2.210015264013413e-24,1.5235381460360507e-08,6893790150884696.0,1523538.1460360507,1523538.1460360507,False
0.08192,Ey,-2.0313057181037324e-08,1.0235603777345722e-24,2.0313057181037324e-08,1.9845489941683604e+16,2031305.7181037324,2031305.7181037324,False
0.16384,Ey,-9.109542599010141e-09,3.5918991045969955e-25,9.109542599010141e-09,2.536135435249709e+16,910954.2599010142,910954.2599010142,False
0.32768,Ey,-2.5888728060542222e-09,-1.8208529314808237e-25,2.5888728060542222e-09,1.4217912722631586e+16,258887.28060542222,258887.28060542222,False
0.65536,Ey,-5.392380142332884e-10,1.7022743271119947e-25,5.392380142332886e-10,3167750377508991.5,53923.80142332886,53923.80142332886,False
1.0,Ey,-1.4707549727999237e-10,4.616101942582098e-26,1.4707549727999242e-10,3186140581586098.0,14707.549727999241,14707.549727999241,False
1e-05,Hz,-0.002193516943645513,-0.002197616875288272,4.099931642759062e-06,0.0018656262103107736,0.0018656262103107736,0.0018656262103107736,True
2e-05,Hz,-0.0021471745336426066,-0.0021618856522278894,1.4711118585282804e-05,0.006804762578502959,0.006804762578502959,0.006694123416463607,True
