run,receiver_mesh_size,receiver_refinement_radius,receiver_type,magnetic_dbdt_mode,time_obs,max_error_Ex,max_error_Ey,max_error_Hz_or_dBzdt,point_Ex_error,point_dBzdt_error,disk_Ex_error,disk_dBzdt_error,estimated_memory_gb,pass_all_components,notes
y200_rxminus300_noip_point_diskdiag_smoke,80,500,point,curl,1.0e-5,0.27639692569161395,5150102111.501422,0.5308318716061439,0.27639692569161395,0.5308318716061439,0.2777551438180187,0.38311236137806826,2.986287,false,baseline point output with simultaneous point/disk diagnostics
y200_rxminus300_noip_biotrate_smoke,80,500,point,biot_rate,1.0e-5,0.2765931106438829,5150102111.510694,0.3754687533711432,0.2765931106438829,0.3754687533711432,,,2.986287,false,biot-rate diagnostic improves dBzdt but not Ex
y200_rxminus300_noip_recv20_biotrate_smoke,20,200,point,biot_rate,1.0e-5,0.13874094959702565,1601943911.790958,0.44747549498846956,0.13874094959702565,0.44747549498846956,0.14179751424291734,0.18156072217219826,3.7939785,false,receiver refinement improves Ex; disk curl diagnostic improves dBzdt
y200_rxminus300_noip_recv20_nearest_biotrate_smoke,20,200,point_nearest_center,biot_rate,1.0e-5,0.13800838032493573,1268457408.674592,0.44747549498846956,0.13800838032493573,0.44747549498846956,0.1392788024482779,0.1492265352976061,3.7939785,false,nearest-center candidate selection gives only minor Ex improvement; disk diagnostic dBzdt improves but remains above 5
y200_rxminus300_noip_recv10_diskcurl_smoke,10,120,disk_average,curl,1.0e-5,0.2353157835715751,10634476606.208687,0.19573457682633436,0.23257123153751044,0.22207948931424745,0.2353157835715751,0.19573457682633436,4.4764695,false,finer receiver mesh with disk output improves dBzdt but worsens Ex
