label,relative_weight,max_error_Ex,max_peak_normalized_error_Ex,max_error_Hz_or_dBzdt,max_peak_normalized_error_Hz_or_dBzdt,max_applied_weight,max_relative_weight_recorded,physical_pass_all_components
0,0.0,0.6731648959866954,0.6724526431167445,0.6489783929589938,0.6486769605748195,0.0,0.0,False
1e-5,1e-05,0.6731648967026564,0.6724526438319479,0.6489783971965516,0.6486769648104092,0.11373370394750007,1e-05,False
1e-4,0.0001,0.6731648999417881,0.6724526470676523,0.6489784034710365,0.6486769710819796,1.1373370394750009,0.0001,False
1e-3,0.001,0.6731649303952675,0.6724526774889099,0.6489784219165821,0.6486769895189578,11.373370394750006,0.001,False
