time_obs,receiver_type,component,pred,ref,abs_error,ordinary_relative_error,relative_error_with_floor,peak_normalized_error,pass_5pct
1e-05,point,Ex,0.0008427957589691917,0.000895504944529561,5.270918556036933e-05,0.058859737048196026,0.058859737048196026,0.058755662284738656,False
1e-05,point,Ey,-3.458627216600076e-05,1.5162385615708813e-21,3.458627216600076e-05,2.281057416859789e+16,3458627216.6000757,3458627216.6000757,False
1e-05,point,dBzdt,4.263523216325172e-06,4.4881196059095085e-06,2.2459638958433655e-07,0.050042425181497034,0.050042425181497034,0.049988149257934024,False
1e-05,disk_average,Ex,0.0008346147564034848,0.000895504944529561,6.089018812607621e-05,0.06799536786261284,0.06799536786261284,0.06787513963562121,False
1e-05,disk_average,Ey,-2.661545355147633e-05,1.5162385615708813e-21,2.661545355147633e-05,1.7553605498531642e+16,2661545355.147633,2661545355.147633,False
1e-05,disk_average,Hz,-0.0021920870836808714,-0.0021976168597438715,5.529776063000098e-06,0.0025162603019184084,0.0025162603019184084,0.0025162603019184084,True
1e-05,disk_average,dBzdt,4.368210542118829e-06,4.4881196059095085e-06,1.199090637906797e-07,0.026716993823603853,0.026716993823603853,0.02668801662057374,True
1.25e-05,point,Ex,0.0008692696794304766,0.0008960114369673489,2.6741757536872255e-05,0.029845330576786754,0.029845330576786754,0.029809409081786264,True
1.25e-05,point,Ey,-3.631838092454769e-05,-2.101350461691214e-21,3.631838092454769e-05,1.728335258047239e+16,3631838092.454769,3631838092.454769,False
1.25e-05,point,dBzdt,4.474629411871604e-06,4.4897427701496744e-06,1.5113358278070368e-08,0.0033661969185745876,0.0033661969185745876,0.0033637620390559583,True
1.25e-05,disk_average,Ex,0.0008619679539173038,0.0008960114369673489,3.4043483050045045e-05,0.03799447378179572,0.03799447378179572,0.0379487440722022,True
1.25e-05,disk_average,Ey,-2.716283762775367e-05,-2.101350461691214e-21,2.7162837627753666e-05,1.292637193221563e+16,2716283762.775367,2716283762.775367,False
1.25e-05,disk_average,Hz,-0.002181242918801538,-0.002188686967160658,7.4440483591202075e-06,0.0034011480265618934,0.0034011480265618934,0.0033873276527318775,True
1.25e-05,disk_average,dBzdt,4.4800069268853555e-06,4.4897427701496744e-06,9.735843264318949e-09,0.002168463487273322,0.002168463487273322,0.0021668949672313353,True
1.5625e-05,point,Ex,0.0008850965283210471,0.0008964200484377166,1.13235201166695e-05,0.012631935370481911,0.012631935370481911,0.012622485374725942,True
1.5625e-05,point,Ey,-3.788776487722311e-05,-3.8977857155522813e-22,3.788776487722311e-05,9.720330372716437e+16,3788776487.7223105,3788776487.7223105,False
