time_obs,component,pred,ref,abs_error,ordinary_relative_error,relative_error_with_floor,peak_normalized_error,pass_5pct
1e-05,Ex,0.0008346147564034848,0.000895504944529561,6.089018812607621e-05,0.06799536786261284,0.06799536786261284,0.06787513963562121,False
1.25e-05,Ex,0.0008619679539173038,0.0008960114369673489,3.4043483050045045e-05,0.03799447378179572,0.03799447378179572,0.0379487440722022,True
1.5625e-05,Ex,0.0008784988768525978,0.0008964200484377166,1.7921171585118787e-05,0.019991935272255297,0.019991935272255297,0.01997697923440872,True
1.953125e-05,Ex,0.0008884701022993274,0.0008965202387598551,8.05013646052778e-06,0.008979313698108398,0.008979313698108398,0.00897359908320157,True
2.44140625e-05,Ex,0.000894403893614814,0.0008970911655277205,2.687271912906494e-06,0.002995539379016944,0.002995539379016944,0.002995539379016944,True
1e-05,Ey,-2.661545355147633e-05,1.5162385615708813e-21,2.661545355147633e-05,1.7553605498531642e+16,2661545355.147633,2661545355.147633,False
1.25e-05,Ey,-2.716283762775367e-05,-2.101350461691214e-21,2.7162837627753666e-05,1.292637193221563e+16,2716283762.775367,2716283762.775367,False
1.5625e-05,Ey,-2.7933416427259353e-05,-3.8977857155522813e-22,2.7933416427259353e-05,7.166483348687997e+16,2793341642.7259355,2793341642.7259355,False
1.953125e-05,Ey,-2.900924140092417e-05,-8.675705880495707e-22,2.900924140092417e-05,3.3437326945512656e+16,2900924140.092417,2900924140.092417,False
2.44140625e-05,Ey,-3.0441117064786432e-05,-2.2757410494034793e-23,3.0441117064786432e-05,1.3376353637759314e+18,3044111706.4786434,3044111706.4786434,False
1e-05,Hz,-0.0021920870836808714,-0.0021976168597438715,5.529776063000098e-06,0.0025162603019184084,0.0025162603019184084,0.0025162603019184084,True
1.25e-05,Hz,-0.002181242918801538,-0.002188686967160658,7.4440483591202075e-06,0.0034011480265618934,0.0034011480265618934,0.0033873276527318775,True
1.5625e-05,Hz,-0.0021672391221701564,-0.0021775216467049704,1.0282524534813934e-05,0.004722122762992262,0.004722122762992262,0.004678943233085837,True
1.953125e-05,Hz,-0.0021492322811014772,-0.00216356085449806,1.4328573396582903e-05,0.0066226810153241986,0.0066226810153241986,0.006520050723606514,True
2.44140625e-05,Hz,-0.002126290651494727,-0.002146107273112271,1.981662161754409e-05,0.009233751670207124,0.009233751670207124,0.0090173232561811,True
1e-05,dBzdt,4.368210542118829e-06,4.4881196059095085e-06,1.199090637906797e-07,0.026716993823603853,0.026716993823603853,0.02668801662057374,True
1.25e-05,dBzdt,4.4800069268853555e-06,4.4897427701496744e-06,9.735843264318949e-09,0.002168463487273322,0.002168463487273322,0.0021668949672313353,True
1.5625e-05,dBzdt,4.549664506665504e-06,4.490865241508837e-06,5.879926515666674e-08,0.013093081621151342,0.013093081621151342,0.013086881976811982,True
1.953125e-05,dBzdt,4.591897712917159e-06,4.491330145979994e-06,1.0056756693716468e-07,0.02239148841622756,0.02239148841622756,0.022383202846074854,True
2.44140625e-05,dBzdt,4.616520405890072e-06,4.4929926976380116e-06,1.235277082520608e-07,0.02749341398150946,0.02749341398150946,0.02749341398150946,True
