time_obs,component,pred,ref,abs_error,ordinary_relative_error,relative_error_with_floor,peak_normalized_error,pass_5pct
1e-05,Ex,0.0002928535992199912,0.0008960285974960374,0.0006031749982760462,0.6731648967026564,0.6731648967026564,0.6724526438319479,False
2e-05,Ex,0.0004834087767707371,0.0008969776590346564,0.00041356888226391927,0.4610693232973156,0.4610693232973156,0.4610693232973156,False
1e-05,Ey,4.857890321512645e-07,8.600401742342899e-22,4.857890321512637e-07,564844581340366.9,48578903.215126365,48578903.215126365,False
2e-05,Ey,7.248315720752741e-06,-3.3749423973857536e-22,7.248315720752741e-06,2.1476857579457716e+16,724831572.0752741,724831572.0752741,False
1e-05,Hz,-0.002351116750398526,-0.002198871400199019,0.00015224535019950705,0.0692379509714517,0.0692379509714517,0.0692379509714517,False
2e-05,Hz,-0.002333446079470692,-0.0021630579064419865,0.00017038817302870556,0.07877189626836067,0.07877189626836067,0.0774889213681545,False
1e-05,dBzdt,1.5792254298710974e-06,4.4989408550885445e-06,2.919715425217447e-06,0.6489783971965516,0.6489783971965516,0.6486769648104092,False
2e-05,dBzdt,2.624292438586073e-06,4.501031458810629e-06,1.8767390202245563e-06,0.41695754348725955,0.41695754348725955,0.41695754348725955,False
