time_obs,receiver_type,component,pred,ref,abs_error,ordinary_relative_error,relative_error_with_floor,peak_normalized_error,pass_5pct
8e-05,point,Ex,0.0010059740017495933,0.0008985278101159227,0.0001074461916336706,0.11958026276316204,0.11958026276316204,0.11958026276316204,False
8e-05,point,Ey,-2.2912364121154672e-05,-2.6841562147576713e-22,2.2912364121154672e-05,8.536151508314216e+16,2291236412.115467,2291236412.115467,False
8e-05,point,dBzdt,4.608717465218668e-06,4.4932662494133314e-06,1.1545121580533664e-07,0.025694274364536192,0.025694274364536192,0.025683979344750467,True
8e-05,disk_average,Ex,0.0010030938196284873,0.0008985278101159227,0.00010456600951256462,0.11637481704553378,0.11637481704553378,0.11637481704553378,False
8e-05,disk_average,Ey,-4.517451826717396e-06,-2.6841562147576713e-22,4.517451826717396e-06,1.683006302643692e+16,451745182.67173964,451745182.67173964,False
8e-05,disk_average,Hz,-0.0018772794876499306,-0.001947257360641248,6.99778729913174e-05,0.035936632930879314,0.035936632930879314,0.031842617236063075,True
8e-05,disk_average,dBzdt,4.524108725001171e-06,4.4932662494133314e-06,3.0842475587839815e-08,0.006864154909998222,0.006864154909998222,0.006861404623704547,True
0.00016,point,Ex,0.0009750307731939319,0.0008885478424902329,8.648293070369904e-05,0.09733064058916971,0.09733064058916971,0.09624958708016118,False
0.00016,point,Ey,-4.0186675055216734e-05,-1.0462579573333249e-23,4.0186675055216734e-05,3.8409911029631247e+18,4018667505.521673,4018667505.521673,False
0.00016,point,dBzdt,4.190377875700462e-06,4.250685441647293e-06,6.030756594683068e-08,0.014187727314740876,0.014187727314740876,0.013416387755692889,True
0.00016,disk_average,Ex,0.0009734435656563532,0.0008885478424902329,8.489572316612028e-05,0.0955443467491774,0.0955443467491774,0.09448313364409672,False
0.00016,disk_average,Ey,-2.1342101540234398e-05,-1.0462579573333249e-23,2.1342101540234398e-05,2.0398508217448202e+18,2134210154.02344,2134210154.02344,False
0.00016,disk_average,Hz,-0.001573970498153323,-0.0016664600505812345,9.248955242791164e-05,0.05550061184824249,0.05550061184824249,0.04208629514449799,False
0.00016,disk_average,dBzdt,4.122379137370769e-06,4.250685441647293e-06,1.2830630427652418e-07,0.03018485042892303,0.03018485042892303,0.028543800477562293,True
0.00032,point,Ex,0.000871047501354545,0.000787951504408638,8.309599694590706e-05,0.1054582629527068,0.1054582629527068,0.09248016144896673,False
0.00032,point,Ey,-3.0350655827295322e-05,3.678289345904718e-24,3.0350655827295322e-05,8.2512964514569e+18,3035065582.7295322,3035065582.7295322,False
0.00032,point,dBzdt,3.1360861648606707e-06,2.968067438904479e-06,1.6801872595619175e-07,0.056608796604098684,0.056608796604098684,0.037378467233002866,False
0.00032,disk_average,Ex,0.0008706205229812912,0.000787951504408638,8.266901857265324e-05,0.10491637887625686,0.10491637887625686,0.09200496372169914,False
0.00032,disk_average,Ey,-1.5011117580050162e-05,3.678289345904718e-24,1.5011117580050162e-05,4.081005100037339e+18,1501111758.0050163,1501111758.0050163,False
0.00032,disk_average,Hz,-0.0011437466141224037,-0.001204195925592685,6.044931147028139e-05,0.05019890051573563,0.05019890051573563,0.02750675613662275,False
0.00032,disk_average,dBzdt,3.0907054271925664e-06,2.968067438904479e-06,1.226379882880874e-07,0.041319138062898386,0.041319138062898386,0.027282792442688053,True
0.00064,point,Ex,0.0006407786389460504,0.0005436720299293242,9.710660901672617e-05,0.17861247897808857,0.17861247897808857,0.10807301446150905,False
0.00064,point,Ey,1.0121902599419847e-06,2.6625055273401174e-23,1.0121902599419847e-06,3.801645666265256e+16,101219025.99419847,101219025.99419847,False
0.00064,point,dBzdt,1.7038622441589366e-06,1.2950550845612449e-06,4.088071595976917e-07,0.31566777697042325,0.31566777697042325,0.09094572603546264,False
0.00064,disk_average,Ex,0.0006411213775517851,0.0005436720299293242,9.744934762246087e-05,0.17924289324784465,0.17924289324784465,0.10845445908890515,False
0.00064,disk_average,Ey,9.318579892700305e-06,2.6625055273401174e-23,9.318579892700305e-06,3.4999288440950976e+17,931857989.2700305,931857989.2700305,False
0.00064,disk_average,Hz,-0.0006965858487685446,-0.0006953818163559687,1.2040324125758622e-06,0.0017314695096362904,0.0017314695096362904,0.0005478809459987987,True
0.00064,disk_average,dBzdt,1.6830136343231837e-06,1.2950550845612449e-06,3.8795854976193877e-07,0.29956914913266125,0.29956914913266125,0.08630761754389761,False
0.00128,point,Ex,0.00036944623353354347,0.0002890136629689803,8.043257056456317e-05,0.2783002358376253,0.2783002358376253,0.08951595004520366,False
