K,candidate_id,case_id,dbdt_p95,h_p95,ip_increment_nrmse,passed,peak_time_error_steps_max,receiver_id,receiver_index,total_p95,unexplained_sign_flips,waveform_id
4,K04_cc_span4.0_shift-0.5_dens1.00,PG01,0.11036397158307101,0.02867753018403643,0.10434961891171045,False,0.0,point,0,0.026958668394304046,0,W0
4,K04_cc_span4.0_shift-0.5_dens1.00,PG01,0.03463548618789136,0.006561672931583672,0.10373709456077893,False,0.0,point,1,0.019544919061996922,0,W0
4,K04_cc_span4.0_shift-0.5_dens1.00,PG01,0.1145052120651053,0.02914313406481944,0.12591945035170843,False,0.0,point,0,0.02774889955417265,0,W1
4,K04_cc_span4.0_shift-0.5_dens1.00,PG01,0.0351515815413552,0.006636957910975199,0.12431668246948034,False,0.0,point,1,0.019075599378580804,0,W1
4,K04_cc_span4.0_shift-0.5_dens1.00,PG01,0.13287438629106724,0.029458555852666452,0.1547740382424621,False,0.0,point,0,0.034590487582917176,0,W2
4,K04_cc_span4.0_shift-0.5_dens1.00,PG01,0.050795258320166604,0.006834861471928473,0.17186381340536366,False,0.0,point,1,0.019668044361212767,0,W2
4,K04_cc_span4.0_shift-0.5_dens1.25,PG01,0.11005386793153184,0.033197751913368725,0.1024835810644105,False,0.0,point,0,0.03146175042068137,0,W0
4,K04_cc_span4.0_shift-0.5_dens1.25,PG01,0.0342529990962267,0.007262153694766485,0.10199349106375973,False,0.0,point,1,0.01908600000660749,0,W0
4,K04_cc_span4.0_shift-0.5_dens1.25,PG01,0.11365544688491216,0.033195613495764276,0.12334687495923155,False,0.0,point,0,0.03317359210798098,0,W1
4,K04_cc_span4.0_shift-0.5_dens1.25,PG01,0.03471452471123967,0.007265384105903553,0.12167975286926781,False,0.0,point,1,0.01916468370985259,0,W1
4,K04_cc_span4.0_shift-0.5_dens1.25,PG01,0.1324392696349311,0.03422778231668963,0.15079112590711602,False,0.0,point,0,0.035245438533031005,0,W2
4,K04_cc_span4.0_shift-0.5_dens1.25,PG01,0.04815479025155321,0.007346567320097995,0.16708650647056092,False,0.0,point,1,0.019200789172782763,0,W2
4,K04_cc_span4.0_shift+0.0_dens1.00,PG01,0.11331144176246295,0.11111240828393401,0.12418637657393541,False,0.0,point,0,0.05019244979827645,0,W0
4,K04_cc_span4.0_shift+0.0_dens1.00,PG01,0.05005089680951836,0.014098193043857435,0.12296397838888865,False,0.0,point,1,0.022797999623015243,0,W0
4,K04_cc_span4.0_shift+0.0_dens1.00,PG01,0.12239954448145474,0.09463867984052769,0.15383473430984554,False,0.0,point,0,0.04808889628017412,0,W1
4,K04_cc_span4.0_shift+0.0_dens1.00,PG01,0.04949559063248118,0.014108531655179626,0.15288090897507225,False,0.0,point,1,0.022764732300528976,0,W1
4,K04_cc_span4.0_shift+0.0_dens1.00,PG01,0.13698890203742717,0.09680454410688065,0.20321905653496802,False,0.0,point,0,0.05381708178950781,0,W2
4,K04_cc_span4.0_shift+0.0_dens1.00,PG01,0.07744661642444389,0.014138420289630952,0.22845982920565833,False,0.0,point,1,0.02349759338926842,0,W2
4,K04_cc_span4.0_shift+0.0_dens1.25,PG01,0.11322572452626804,0.11889727499589398,0.12343162115032796,False,0.0,point,0,0.049796688634543215,0,W0
