time_obs,component,pred,ref,abs_error,ordinary_relative_error,relative_error_with_floor,peak_normalized_error,pass_5pct
1e-05,Ex,0.0009979211780604827,0.0008957478017615674,0.00010217337629891531,0.11406489203543935,0.11406489203543935,0.11406489203543935,False
1e-05,Ey,5.952295267625509e-05,1.1173400869144125e-21,5.952295267625509e-05,5.327201035150411e+16,5952295267.625508,5952295267.625508,False
1e-05,Hz,-0.0021675570516726146,-0.002197618591964809,3.0061540292194294e-05,0.013679143597578228,0.013679143597578228,0.013679143597578228,True
1e-05,dBzdt,5.189642050444779e-06,4.486077984479888e-06,7.035640659648907e-07,0.15683277651412947,0.15683277651412947,0.15683277651412947,False
