time_obs,component,pred,ref,abs_error,ordinary_relative_error,relative_error_with_floor,peak_normalized_error,pass_5pct
1e-05,Ex,0.00028728569135852465,0.0008960285974960374,0.0006087429061375128,0.6793788812529556,0.6793788812529556,0.6786600535766443,False
2e-05,Ex,0.00047974472073827087,0.0008969776590346564,0.0004172329382963855,0.46515421437075605,0.46515421437075605,0.46515421437075605,False
1e-05,Ey,7.78014767388204e-06,8.600401742342899e-22,7.780147673882039e-06,9046260752654784.0,778014767.3882039,778014767.3882039,False
2e-05,Ey,2.045121596623825e-05,-3.3749423973857536e-22,2.045121596623825e-05,6.059722969517898e+16,2045121596.623825,2045121596.623825,False
1e-05,Hz,-0.0023511167556553216,-0.002198871400199019,0.00015224535545630248,0.0692379533621306,0.0692379533621306,0.0692379533621306,False
2e-05,Hz,-0.002333446104740603,-0.0021630579064419865,0.00017038819829861673,0.07877190795085474,0.07877190795085474,0.07748893286037326,False
1e-05,dBzdt,1.8396273799937874e-06,4.4989408550885445e-06,2.659313475094757e-06,0.5910976740418649,0.5910976740418649,0.5908231256391763,False
2e-05,dBzdt,2.740792274335562e-06,4.501031458810629e-06,1.7602391844750673e-06,0.3910746238019407,0.3910746238019407,0.3910746238019407,False
