K,candidate_id,case_id,condition_number,dbdt_p95,group_p95_W0,group_p95_W1,group_p95_W2,group_p95_W3,group_p95_disk_1.0,group_p95_disk_4.0,group_p95_point,h_p95,ip_p95,n_tasks,qualifies,scope,spectral_error,spectral_error_s0,spectral_error_s1,split,total_p95,valid
4,K04_cc_span4.0_shift-0.5_dens1.00,TR01,7.03916826053878,0.3135348950866286,0.21432463026121448,0.2145446431217151,0.22112634496102204,nan,nan,nan,0.22024029254238742,0.4765530010578215,0.10080203987756436,6,False,point,0.04089032446372138,0.03416637362440746,0.04089032446372138,train,0.22024029254238742,True
4,K04_cc_span4.0_shift-0.5_dens1.25,TR01,7.708873035825539,0.17429978489452244,0.11673980081033884,0.11744707632115536,0.11924969982468947,nan,nan,nan,0.11945731934305338,0.20510399836649976,0.04172531869170112,6,False,point,0.017562032516795733,0.014673988358481263,0.017562032516795733,train,0.11945731934305338,True
4,K04_cc_span4.0_shift+0.0_dens1.00,TR01,6.499147080970361,0.2552936831500292,0.22099536372538645,0.22112006060473216,0.22125428379392195,nan,nan,nan,0.22230885525360383,0.6947302648157039,0.09284619358367172,6,False,point,0.03806722267191237,0.03390468365728848,0.03806722267191237,train,0.22230885525360383,True
4,K04_cc_span4.0_shift+0.0_dens1.25,TR01,7.128758702089837,0.1380662249263164,0.11495348275037877,0.1152955817095267,0.11629078401439336,nan,nan,nan,0.11797833948898348,0.26442230039882536,0.03410666247771732,6,False,point,0.016480562204849877,0.01448792562210526,0.016480562204849877,train,0.11797833948898348,True
4,K04_cc_span4.0_shift+0.5_dens1.00,TR01,6.062413082207041,0.1366988221884339,0.10841488243214921,0.1097091110189386,0.10957912247805239,nan,nan,nan,0.11144656158636013,0.22144184089034274,0.03852105978461531,6,False,point,0.01648387141282432,0.013799764646433727,0.01648387141282432,train,0.11144656158636013,True
4,K04_cc_span4.0_shift+0.5_dens1.25,TR01,6.611494581413142,0.2524575823064483,0.20157224112771743,0.20349572673024868,0.2144755495252942,nan,nan,nan,0.21298335247816616,0.33602514312077386,0.080929091537928,6,False,point,0.033236036478353805,0.027745578924252893,0.033236036478353805,train,0.21298335247816616,True
4,K04_cc_span6.0_shift-0.5_dens1.00,TR01,5.868820658429537,0.481392416505369,0.3561350653678835,0.35689744297268267,0.3621938186470311,nan,nan,nan,0.36338560673330406,0.9614026061411466,0.21888113499534922,6,False,point,0.08968050805004482,0.0773779372319217,0.08968050805004482,train,0.36338560673330406,True
4,K04_cc_span6.0_shift-0.5_dens1.25,TR01,5.853822397559556,0.37024478459207133,0.2628003361155052,0.26605423263563255,0.29017298096715693,nan,nan,nan,0.286084109642238,0.6404534085283902,0.13729163697699717,6,False,point,0.055496793949725294,0.046558911861377714,0.055496793949725294,train,0.286084109642238,True
4,K04_cc_span6.0_shift+0.0_dens1.00,TR01,5.317820738538156,0.4490294049293422,0.4060994358561839,0.41594962239523814,0.46324817637774823,nan,nan,nan,0.45667249162234863,1.0946837338036595,0.23737224777857943,6,False,point,0.08237180901487103,0.07716872654505211,0.08237180901487103,train,0.45667249162234863,True
4,K04_cc_span6.0_shift+0.0_dens1.25,TR01,5.385757193676094,0.3007633034773939,0.2829911030103459,0.282131270502512,0.2719068433789067,nan,nan,nan,0.285397684243355,0.8579028099177437,0.13449812483968387,6,False,point,0.05133423082590238,0.04629564579796124,0.05133423082590238,train,0.285397684243355,True
