split,case_id,case_hash,K,candidate_id,receiver_scope,official_variant,valid,n_tasks,total_p95,ip_increment_nrmse_p95,fail_rate,qualifies_point,spectral_error,spectral_error_s0,spectral_error_s1,condition_number,relative_dc_error,optimizer_success
train,TR01,56a2b28fb07bc42ea20d7a9deea17b8d59f8690eb2d29f71a520349c502f328b,4,K04_cc_span8.0_shift-0.5_dens1.25,point,S1,True,6,0.36897458588651744,0.22271645544994842,1.0,False,0.09133638773429024,0.07896359412554264,0.09133638773429024,7.756313506127207,0.0,True
train,TR01,56a2b28fb07bc42ea20d7a9deea17b8d59f8690eb2d29f71a520349c502f328b,4,K04_tw_span4.0_shift+0.0_dens1.00,point,S1,True,6,0.14359075979476246,0.04541834589040877,1.0,False,0.020899539097887096,0.020142869709294797,0.020899539097887096,8.559612101985275,0.0,True
train,TR01,56a2b28fb07bc42ea20d7a9deea17b8d59f8690eb2d29f71a520349c502f328b,4,K04_tw_span4.0_shift+0.0_dens1.25,point,S1,True,6,0.24793680187133182,0.09510920610419346,1.0,False,0.03790926616487555,0.035524116030241436,0.03790926616487555,8.942127361625193,0.0,True
train,TR01,56a2b28fb07bc42ea20d7a9deea17b8d59f8690eb2d29f71a520349c502f328b,4,K04_tw_span4.0_shift+0.5_dens1.00,point,S1,True,6,0.24529407145400223,0.08172341484610182,1.0,False,0.033475353082620854,0.028043856370306396,0.033475353082620854,7.198653105655832,0.0,True
train,TR01,56a2b28fb07bc42ea20d7a9deea17b8d59f8690eb2d29f71a520349c502f328b,4,K04_tw_span4.0_shift+0.5_dens1.25,point,S1,True,6,0.09540905387032704,0.028142278086113276,1.0,False,0.01245729202135313,0.01067971088841552,0.01245729202135313,7.8634429155000465,0.0,True
train,TR01,56a2b28fb07bc42ea20d7a9deea17b8d59f8690eb2d29f71a520349c502f328b,4,K04_tw_span4.0_shift-0.5_dens1.00,point,S1,True,6,0.24552317804299761,0.11912767693174987,1.0,False,0.04768534849802429,0.04051263093889982,0.04768534849802429,13.372484146465258,0.0,True
train,TR01,56a2b28fb07bc42ea20d7a9deea17b8d59f8690eb2d29f71a520349c502f328b,4,K04_tw_span4.0_shift-0.5_dens1.25,point,S1,True,6,0.29319354791608054,0.14834610970581627,1.0,False,0.05900578527956757,0.050111884131433894,0.05900578527956757,12.108900433499116,0.0,True
train,TR01,56a2b28fb07bc42ea20d7a9deea17b8d59f8690eb2d29f71a520349c502f328b,4,K04_tw_span6.0_shift+0.0_dens1.00,point,S1,True,6,0.16635417830240926,0.0760497894461647,1.0,False,0.03151816291566034,0.02618145327523343,0.03151816291566034,9.214112072607207,1.1399776277612793e-16,True
train,TR01,56a2b28fb07bc42ea20d7a9deea17b8d59f8690eb2d29f71a520349c502f328b,4,K04_tw_span6.0_shift+0.0_dens1.25,point,S1,True,6,0.13576718670841548,0.05286961067143452,1.0,False,0.019038423553697854,0.02384521662406734,0.019038423553697854,7.841869907453841,1.1399776277612793e-16,True
train,TR01,56a2b28fb07bc42ea20d7a9deea17b8d59f8690eb2d29f71a520349c502f328b,4,K04_tw_span6.0_shift+0.5_dens1.00,point,S1,True,6,0.382530983224501,0.20119276778015327,1.0,False,0.08383711666870373,0.07135115662803786,0.08383711666870373,6.201983649683149,0.0,True
train,TR01,56a2b28fb07bc42ea20d7a9deea17b8d59f8690eb2d29f71a520349c502f328b,4,K04_tw_span6.0_shift+0.5_dens1.25,point,S1,True,6,0.2566949884118754,0.11781226105334061,1.0,False,0.04801567129401442,0.0400402775095586,0.04801567129401442,6.062778820059926,1.1399776277612793e-16,True
train,TR01,56a2b28fb07bc42ea20d7a9deea17b8d59f8690eb2d29f71a520349c502f328b,4,K04_tw_span6.0_shift-0.5_dens1.00,point,S1,True,6,0.3002557263026968,0.13641566229238886,1.0,False,0.04564724658566262,0.047209557565123746,0.04564724658566262,19.87596154089188,0.0,True
train,TR01,56a2b28fb07bc42ea20d7a9deea17b8d59f8690eb2d29f71a520349c502f328b,4,K04_tw_span6.0_shift-0.5_dens1.25,point,S1,True,6,0.3721056741403663,0.23580352673492166,1.0,False,0.07363440424274866,0.07398461638849577,0.07363440424274866,13.608638163295957,1.1399776277612793e-16,True
train,TR01,56a2b28fb07bc42ea20d7a9deea17b8d59f8690eb2d29f71a520349c502f328b,4,K04_tw_span8.0_shift+0.0_dens1.00,point,S1,True,6,0.3177530476936658,0.19093409467069583,1.0,False,0.08028381132123272,0.06732951056599183,0.08028381132123272,13.614535760722061,0.0,True
train,TR01,56a2b28fb07bc42ea20d7a9deea17b8d59f8690eb2d29f71a520349c502f328b,4,K04_tw_span8.0_shift+0.0_dens1.25,point,S1,True,6,0.17153940884271712,0.07904836527922061,1.0,False,0.03322595805535547,0.027834722767306294,0.03322595805535547,9.057230836723841,1.1399776277612793e-16,True
train,TR01,56a2b28fb07bc42ea20d7a9deea17b8d59f8690eb2d29f71a520349c502f328b,4,K04_tw_span8.0_shift+0.5_dens1.00,point,S1,True,6,0.4401050756118696,0.28197532153318644,1.0,False,0.12135287514270522,0.1091846223156924,0.12135287514270522,7.244931014798517,0.0,True
train,TR01,56a2b28fb07bc42ea20d7a9deea17b8d59f8690eb2d29f71a520349c502f328b,4,K04_tw_span8.0_shift+0.5_dens1.25,point,S1,True,6,0.3862413319337433,0.20514116174739483,1.0,False,0.0856139429538168,0.0729854875384919,0.0856139429538168,6.8907652273912765,0.0,True
