time_obs,receiver_type,component,pred,ref,abs_error,ordinary_relative_error,relative_error_with_floor,peak_normalized_error,pass_5pct
1e-05,point,Ex,0.0007721270984608319,0.0008957478017615674,0.00012362070330073553,0.13800838032493573,0.13800838032493573,0.13800838032493573,False
1e-05,point,Ey,-1.2684574086745917e-05,1.1173400869144125e-21,1.2684574086745919e-05,1.1352473821802072e+16,1268457408.674592,1268457408.674592,False
1e-05,point,Hz,-0.002197539374294769,-0.002197618591964809,7.921767004002989e-08,3.604705126252336e-05,3.604705126252336e-05,3.604705126252336e-05,True
1e-05,point,dBzdt,2.4786680178178743e-06,4.486077984479888e-06,2.007409966662014e-06,0.44747549498846956,0.44747549498846956,0.44747549498846956,False
1e-05,disk_average,Ex,0.0007708009968487063,0.0008957478017615674,0.0001249468049128611,0.1394888211471378,0.1394888211471378,0.1394888211471378,False
1e-05,disk_average,Ey,1.5577674434428952e-05,1.1173400869144125e-21,1.5577674434428952e-05,1.3941748458562368e+16,1557767443.4428952,1557767443.4428952,False
1e-05,disk_average,dBzdt,3.7779416985302203e-06,4.486077984479888e-06,7.081362859496678e-07,0.15785197858787747,0.15785197858787747,0.15785197858787747,False
