time_obs,receiver_type,radius,Ex,Ey,Hz,dBzdt,sample_count,candidate_count_min,candidate_count_max,candidate_count_mean
1e-05,point,0.0,0.0007721270984608319,-1.2684574086745917e-05,-0.002197539374294769,2.4786680178178743e-06,1,32,32,32.0
1e-05,disk_average,2.0,0.0007708009968487063,1.5577674434428952e-05,nan,3.7779416985302203e-06,5,4,32,9.6
