time_obs,receiver_type,radius,Ex,Ey,Hz,dBzdt,sample_count,candidate_count_min,candidate_count_max,candidate_count_mean
1e-05,point,0.0,0.0012528835406774744,0.0002523805382415028,nan,4.128882274589859e-06,1,32,32,32.0
1e-05,disk_average,2.0,0.001289539783307347,0.00026621862371412644,-0.002103109477594773,4.228443172419829e-06,5,4,32,9.6
